capacity,data_seed,degree,fdr_significant,interaction_order,max_statistic_significant,maximum_delay,measurement_seed,model,null_95_threshold,p_value,reservoir_seed,ridge_capacity,ridge_p_value,ridge_test_r2,selected_alpha,significant_capacity,squared_correlation,task_multi_index,test_r2
0.9999886910889495,211,5,True,1,True,0,13001,reservoir,0.01566855721153413,0.008333333333333333,13,0.9999881991891474,0.008333333333333333,0.9999881991891474,1e-10,0.9999886910889495,0.9999893892301622,[5],0.9999886910889495
0.9999896629437918,307,6,True,1,True,0,13001,reservoir,0.0,0.008333333333333333,13,0.9980987032585052,0.008333333333333333,0.9980987032585052,1e-10,0.9999896629437918,0.999993160228405,[6],0.9999896629437918
0.9999896629438634,307,6,True,1,True,0,13001,reservoir,0.0,0.008333333333333333,17,0.9975070265461037,0.008333333333333333,0.9975070265461037,1e-10,0.9999896629438634,0.9999931602284806,[6],0.9999896629438634
0.9999963191047249,211,6,True,1,True,0,13001,reservoir,0.010268631316593486,0.008333333333333333,17,0.9993540237372462,0.008333333333333333,0.9993540237372462,1e-10,0.9999963191047249,0.999996321056734,[6],0.9999963191047249
0.9999963191047708,211,6,True,1,True,0,13001,reservoir,0.008515497293338548,0.008333333333333333,13,0.9994966036317656,0.008333333333333333,0.9994966036317656,1e-10,0.9999963191047708,0.9999963210567807,[6],0.9999963191047708
0.9999999859036539,307,3,True,1,True,0,13001,reservoir,0.0,0.008333333333333333,13,0.9999999794045875,0.008333333333333333,0.9999999794045875,1e-10,0.9999999859036539,0.9999999897224423,[3],0.9999999859036539
0.999999985903654,307,3,True,1,True,0,13001,reservoir,0.00025129707904746014,0.008333333333333333,17,0.9999997842637989,0.008333333333333333,0.9999997842637989,1e-10,0.999999985903654,0.9999999897224423,[3],0.999999985903654
0.9999999938057628,211,3,True,1,True,0,13001,reservoir,0.01274295863127028,0.008333333333333333,13,0.9999999888470414,0.008333333333333333,0.9999999888470414,1e-10,0.9999999938057628,0.9999999938267659,[3],0.9999999938057628
0.9999999938057628,211,3,True,1,True,0,13001,reservoir,0.016156354159350426,0.008333333333333333,17,0.9999999521348457,0.008333333333333333,0.9999999521348457,1e-10,0.9999999938057628,0.9999999938267654,[3],0.9999999938057628
0.9999999975737638,307,4,True,1,True,0,13001,reservoir,0.0,0.008333333333333333,13,0.999995837277608,0.008333333333333333,0.999995837277608,1e-10,0.9999999975737638,0.9999999984522535,[4],0.9999999975737638
0.9999999975737638,307,4,True,1,True,0,13001,reservoir,0.0,0.008333333333333333,17,0.9999944949443105,0.008333333333333333,0.9999944949443105,1e-10,0.9999999975737638,0.999999998452254,[4],0.9999999975737638
0.9999999992435645,211,4,True,1,True,0,13001,reservoir,0.0,0.008333333333333333,17,0.9999987179517218,0.008333333333333333,0.9999987179517218,1e-10,0.9999999992435645,0.9999999992435797,[4],0.9999999992435645
0.9999999992435645,211,4,True,1,True,0,13001,reservoir,0.005789389221820062,0.008333333333333333,13,0.9999989581193534,0.008333333333333333,0.9999989581193534,1e-10,0.9999999992435645,0.9999999992435795,[4],0.9999999992435645
0.9999999999967024,307,1,True,1,True,0,13001,reservoir,0.0,0.008333333333333333,13,0.9999999992865344,0.008333333333333333,0.9999999992865344,1e-09,0.9999999999967024,0.9999999999973909,[1],0.9999999999967024
0.9999999999967024,307,1,True,1,True,0,13001,reservoir,0.0,0.008333333333333333,17,0.9999999932737823,0.008333333333333333,0.9999999932737823,1e-09,0.9999999999967024,0.9999999999973909,[1],0.9999999999967024
0.999999999998527,211,1,True,1,True,0,13001,reservoir,0.004569683380228472,0.008333333333333333,17,0.9999999975613116,0.008333333333333333,0.9999999975613116,1e-09,0.999999999998527,0.9999999999985314,[1],0.999999999998527
0.999999999998527,211,1,True,1,True,0,13001,reservoir,0.00828290168094317,0.008333333333333333,13,0.999999999391786,0.008333333333333333,0.999999999391786,1e-08,0.999999999998527,0.9999999999985314,[1],0.999999999998527
0.9999999999998582,307,2,True,1,True,0,13001,reservoir,0.0,0.008333333333333333,13,0.9999999868416877,0.008333333333333333,0.9999999868416877,1e-10,0.9999999999998582,0.999999999999898,[2],0.9999999999998582
